Year,Month,TotalNonfarmEmployees,HousingPriceIndex,AnnualPerCapitaIncome,QuarterlyTotalWages,TotalRealGDPChainIndex,TotalGDP,TotalRealGDP,StablePopulation,EmployedIndividuals,AverageWeeklyWagePrivate,UnemploymentRate
2009,1,47.8,169.4,34764,410743634.10769,93.019,4662.761,4952.101,87.214,46450,650.0,4.5
2009,2,47.7,169.4,34764,410743634.10769,93.019,4662.761,4952.101,87.214,47592,650.0,4.6
2009,3,47.6,169.4,34764,410743634.10769,93.019,4662.761,4952.101,87.214,46881,650.0,4.7
2009,4,47.2,168.48,34764,410225621.95815,93.019,4662.761,4952.101,87.214,47441,613.0,4.5
2009,5,47.2,168.48,34764,410225621.95815,93.019,4662.761,4952.101,87.214,46614,613.0,4.6
2009,6,47.2,168.48,34764,410225621.95815,93.019,4662.761,4952.101,87.214,44786,613.0,5.7
2009,7,47.1,166.48,34764,409045466.9330241,93.019,4662.761,4952.101,87.214,45388,643.0,5.3
2009,8,46.9,166.48,34764,409045466.9330241,93.019,4662.761,4952.101,87.214,45508,643.0,5.3
2009,9,46.9,166.48,34764,409045466.9330241,93.019,4662.761,4952.101,87.214,47605,643.0,4.5
2009,10,46.7,167.39,34764,414015560.022224,93.019,4662.761,4952.101,87.214,48059,693.0,4.1
2009,11,46.7,167.39,34764,414015560.022224,93.019,4662.761,4952.101,87.214,47664,693.0,4.3
2009,12,46.9,167.39,34764,414015560.022224,93.019,4662.761,4952.101,87.214,46813,693.0,4.8
2010,1,46.7,163.07,34612,398214724.389904,93.985,4767.535,5003.547,115.932,49707,648.0,4.9
2010,2,46.6,163.07,34612,398214724.389904,93.985,4767.535,5003.547,115.932,50942,648.0,4.8
2010,3,46.7,163.07,34612,398214724.389904,93.985,4767.535,5003.547,115.932,50845,648.0,4.7
2010,4,47.1,166.72,34612,414493941.752833,93.985,4767.535,5003.547,115.932,52041,632.0,4.0
2010,5,47.8,166.72,34612,414493941.752833,93.985,4767.535,5003.547,115.932,51580,632.0,4.0
2010,6,47.2,166.72,34612,414493941.752833,93.985,4767.535,5003.547,115.932,49345,632.0,4.8
2010,7,47.2,167.05,34612,417708872.70366096,93.985,4767.535,5003.547,115.932,49727,634.0,4.5
2010,8,46.2,167.05,34612,417708872.70366096,93.985,4767.535,5003.547,115.932,49145,634.0,4.5
2010,9,46.5,167.05,34612,417708872.70366096,93.985,4767.535,5003.547,115.932,51897,634.0,3.9
2010,10,46.7,167.71,34612,428945811.2794621,93.985,4767.535,5003.547,115.932,52123,741.0,3.6
2010,11,46.7,167.71,34612,428945811.2794621,93.985,4767.535,5003.547,115.932,52090,741.0,3.7
2010,12,47.0,167.71,34612,428945811.2794621,93.985,4767.535,5003.547,115.932,51550,741.0,4.1
